?x	?label
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid107	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid117	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid124	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid127	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid132	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid136	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid140	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid143	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid149	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid153	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid156	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid162	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid169	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid171	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid179	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid184	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid189	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid194	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid199	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid209	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid217	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid224	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid229	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid234	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid239	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid250	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid258	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid264	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid279	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid287	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid292	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid297	
_:B363d1cf3X2D97faX2D4941X2D94d7X2Dbb041b6e3213genid94	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000008>	"temporal region"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000034>	"function"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/HEPRO_0000001>	"health procedure request"
<http://purl.obolibrary.org/obo/HEPRO_0000003>	"health procedure report"
<http://purl.obolibrary.org/obo/HEPRO_0000004>	"health procedure"
<http://purl.obolibrary.org/obo/HEPRO_0000005>	"health activity"
<http://purl.obolibrary.org/obo/HEPRO_0000006>	"health procedure resulting process"
<http://purl.obolibrary.org/obo/HEPRO_0000007>	"health procedure outcome information"
<http://purl.obolibrary.org/obo/HEPRO_0000008>	"health activity outcome information"
<http://purl.obolibrary.org/obo/HEPRO_0000009>	"health provider identifier"
